"depo,multiplier,promo,lt,supply,info"
"BDG,1.10,,7,normal,Penyesuaian demand untuk promo dealer"
"BDG,,20,10,limited,Promo oil pack 20% dan LT meningkat"
"BDG,0,,14,oos,Stok habis di AHM bulan ini"
"CRB,1.05,,7,normal,Stabil namun ada peningkatan kunjungan"
"CRB,,10,8,normal,Event showroom weekend"
"CRB,0,,7,oos,Short supply untuk brake shoe"
"KRW,1.15,,7,normal,Pendekatan peak demand musiman"
"KRW,,15,12,limited,Promo ban + LT naik"
"KRW,0,,14,oos,Stock kosong dari principal"
"ALL,1.03,,7,normal,Penyesuaian umum seluruh depo"
